                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86829,                0.44808,                0.97029,                0.96439,                 0.9111,                0.97261,                0.69125,                 0.9098,                0.41238,                0.96521,              0.0004085,              0.0004085,              0.0004085
                     36,                 0.8651,                0.44585,                0.96603,                0.94874,                0.93184,                0.97147,                0.69789,                0.90091,                0.40552,                0.96247,             0.00038375,             0.00038375,             0.00038375
                     37,                0.86354,                0.44327,                0.96416,                0.95879,                0.92441,                0.97035,                0.69799,                0.90553,                0.40115,                0.96547,               0.000359,               0.000359,               0.000359
                     38,                0.85751,                 0.4389,                0.96473,                0.94974,                0.94052,                0.97714,                0.69609,                0.89859,                0.40387,                0.96357,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.8536,                0.44383,                 0.9615,                0.94808,                0.92537,                0.97363,                0.69948,                0.89145,                0.39879,                 0.9625,              0.0003095,              0.0003095,              0.0003095
                     40,                0.83708,                0.42722,                0.95277,                0.94715,                0.93985,                 0.9729,                0.69682,                 0.8987,                0.39375,                0.96603,             0.00028475,             0.00028475,             0.00028475
                     41,                0.83419,                0.42426,                 0.9549,                0.96954,                0.92241,                0.97717,                0.69957,                0.89461,                0.39119,                0.96053,                0.00026,                0.00026,                0.00026
                     42,                0.83217,                0.42125,                0.94818,                0.95085,                0.93626,                0.97642,                0.69838,                0.89651,                0.39134,                0.96332,             0.00023525,             0.00023525,             0.00023525
                     43,                0.83118,                0.41687,                0.95338,                0.95194,                0.93182,                0.97697,                0.69681,                0.89885,                 0.3894,                 0.9643,              0.0002105,              0.0002105,              0.0002105
                     44,                0.81743,                0.40993,                 0.9498,                0.95664,                0.92897,                0.97589,                0.69914,                0.89949,                0.38686,                0.96247,             0.00018575,             0.00018575,             0.00018575
                     45,                0.82074,                0.40995,                0.94907,                 0.9561,                0.92225,                0.97005,                 0.6988,                0.89173,                0.38348,                0.95786,               0.000161,               0.000161,               0.000161
                     46,                0.81526,                0.41127,                 0.9515,                0.96563,                0.92019,                0.97498,                0.70278,                0.88659,                0.38415,                0.95812,             0.00013625,             0.00013625,             0.00013625
                     47,                0.80655,                0.40619,                0.94393,                0.96375,                0.92436,                0.97759,                0.70034,                0.88944,                0.38076,                0.95695,              0.0001115,              0.0001115,              0.0001115
                     48,                0.79822,                0.40271,                0.94272,                0.94034,                 0.9452,                0.97667,                0.70226,                 0.8849,                0.37772,                0.95561,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.80899,                0.40438,                0.94775,                0.95208,                0.93936,                0.97509,                 0.7032,                0.88792,                0.37836,                0.95648,                6.2e-05,                6.2e-05,                6.2e-05
