                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2741,                 1.8874,                 1.1472,                0.89473,                0.58587,                0.85714,                0.55375,                 1.1116,                 1.7684,                  1.047,             0.00041317,             0.00041317,             0.00041317
                      1,                 1.1317,                 1.0336,                 1.0783,                0.87673,                0.83168,                0.91757,                 0.6054,                 1.0305,                0.87701,                 1.0249,              0.0008134,              0.0008134,              0.0008134
                      2,                 1.1313,                0.92884,                 1.0729,                0.92415,                0.83528,                0.91743,                0.58811,                 1.0613,                0.75421,                 1.0426,              0.0011971,              0.0011971,              0.0011971
                      3,                 1.1068,                0.83521,                 1.0692,                0.88657,                0.86536,                0.92531,                0.61567,                 1.0279,                0.69663,                 1.0372,              0.0011757,              0.0011757,              0.0011757
                      4,                 1.0864,                0.77445,                 1.0556,                0.89598,                0.87354,                0.93238,                0.61905,                 1.0183,                0.63527,                 1.0241,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0813,                0.72538,                 1.0509,                0.87589,                0.87386,                0.93878,                0.62353,                 1.0272,                0.63245,                 1.0347,               0.001151,               0.001151,               0.001151
                      6,                 1.0824,                0.70105,                 1.0532,                0.92827,                0.88728,                0.95239,                0.64337,                0.99583,                0.59526,                 1.0259,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.0433,                0.66504,                 1.0393,                0.91602,                 0.8923,                0.94553,                0.64269,                 1.0003,                0.56626,                 1.0259,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.0384,                0.64331,                 1.0346,                0.91193,                0.88966,                0.94929,                0.63806,                0.99785,                0.58032,                 1.0205,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.0372,                0.63715,                 1.0285,                0.90935,                 0.9044,                0.95242,                0.65446,                 0.9851,                0.53174,                 1.0132,               0.001052,               0.001052,               0.001052
                     10,                 1.0275,                 0.6269,                  1.035,                0.94067,                0.88715,                0.95201,                0.63928,                 1.0262,                0.52469,                  1.025,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.0127,                 0.6041,                   1.02,                 0.9386,                0.89028,                0.96197,                0.66864,                0.95293,                0.50171,                 1.0001,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.0101,                0.59456,                 1.0265,                0.92752,                0.88853,                0.94944,                0.65063,                0.98733,                0.50724,                 1.0114,             0.00097775,             0.00097775,             0.00097775
                     13,                0.99769,                0.57841,                  1.024,                0.94715,                0.89845,                0.96271,                0.66976,                0.95621,                0.49853,                 1.0033,               0.000953,               0.000953,               0.000953
