                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.0078,                0.57829,                 1.0202,                0.93538,                0.91397,                0.96695,                0.67254,                0.94924,                0.49433,                0.99694,             0.00092825,             0.00092825,             0.00092825
                     15,                 0.9729,                0.56903,                 1.0094,                0.92811,                0.90881,                0.96009,                0.66601,                0.94807,                0.48567,                0.99449,              0.0009035,              0.0009035,              0.0009035
                     16,                0.99565,                0.56778,                 1.0185,                0.91351,                 0.9094,                0.96247,                0.65533,                0.96906,                0.48814,                 1.0035,             0.00087875,             0.00087875,             0.00087875
                     17,                0.98896,                 0.5633,                 1.0183,                0.96402,                0.88655,                0.96404,                 0.6722,                0.94282,                0.47872,                0.99745,               0.000854,               0.000854,               0.000854
                     18,                0.96566,                 0.5502,                 1.0045,                0.92976,                 0.9261,                0.96502,                0.66381,                0.94158,                0.47847,                0.99423,             0.00082925,             0.00082925,             0.00082925
                     19,                 0.9835,                0.55477,                 1.0124,                0.94723,                0.91421,                0.96556,                0.66657,                0.95286,                 0.4659,                 1.0004,              0.0008045,              0.0008045,              0.0008045
                     20,                0.96147,                0.54048,                 1.0031,                0.93781,                0.90893,                0.96195,                 0.6718,                0.94234,                0.46931,                0.99646,             0.00077975,             0.00077975,             0.00077975
                     21,                0.95489,                 0.5322,                 1.0008,                0.94072,                0.92298,                 0.9679,                0.68011,                0.92321,                0.44457,                0.98876,               0.000755,               0.000755,               0.000755
                     22,                0.94982,                 0.5264,                 1.0016,                0.94952,                  0.921,                0.96896,                0.68138,                0.91924,                0.45567,                0.98189,             0.00073025,             0.00073025,             0.00073025
                     23,                0.94593,                0.51776,                0.99241,                0.94529,                0.92783,                0.97166,                 0.6801,                0.94689,                0.44532,                0.99667,              0.0007055,              0.0007055,              0.0007055
                     24,                0.94514,                 0.5108,                0.99042,                0.96765,                0.90112,                0.96934,                0.68367,                0.91934,                0.44372,                0.98166,             0.00068075,             0.00068075,             0.00068075
                     25,                0.93998,                0.50505,                0.99466,                0.94063,                0.91644,                0.96546,                0.68172,                0.93305,                0.44555,                0.99002,               0.000656,               0.000656,               0.000656
                     26,                0.94115,                0.50757,                 1.0007,                0.94056,                 0.9214,                 0.9717,                0.68489,                0.92628,                 0.4464,                0.98699,             0.00063125,             0.00063125,             0.00063125
                     27,                0.94091,                0.50987,                0.99414,                 0.9526,                0.92648,                0.97345,                0.68869,                0.91212,                0.42912,                0.98063,              0.0006065,              0.0006065,              0.0006065
                     28,                0.92101,                0.49918,                0.98932,                0.93676,                0.93074,                0.97409,                0.68949,                0.91711,                0.43848,                0.98216,             0.00058175,             0.00058175,             0.00058175
                     29,                0.92052,                0.49306,                0.98625,                0.92967,                0.93079,                0.96953,                0.68569,                0.90419,                0.44026,                0.97616,               0.000557,               0.000557,               0.000557
                     30,                0.91867,                 0.4855,                0.98221,                0.95736,                0.93308,                0.97426,                 0.6992,                0.90534,                0.43121,                0.97684,             0.00053225,             0.00053225,             0.00053225
                     31,                0.91778,                0.49232,                0.98416,                0.95445,                 0.9187,                0.97525,                0.68978,                0.91207,                0.43192,                0.97893,              0.0005075,              0.0005075,              0.0005075
                     32,                0.92214,                0.48675,                0.98816,                0.95105,                0.92006,                0.97133,                0.69349,                0.90398,                0.41995,                0.97429,             0.00048275,             0.00048275,             0.00048275
                     33,                0.90062,                0.47737,                0.97731,                0.93383,                0.92641,                0.97137,                0.69164,                0.90429,                0.42063,                0.97631,               0.000458,               0.000458,               0.000458
                     34,                0.89491,                0.47405,                0.97536,                0.94947,                0.92473,                0.97396,                0.69089,                0.91003,                0.41931,                0.97968,             0.00043325,             0.00043325,             0.00043325
                     35,                0.89179,                  0.471,                0.97641,                0.95503,                0.92354,                0.97228,                0.69198,                0.91081,                0.41659,                0.97664,              0.0004085,              0.0004085,              0.0004085
                     36,                0.88945,                0.46862,                0.97541,                0.96949,                0.92609,                0.97826,                0.70108,                0.89739,                0.40575,                0.97272,             0.00038375,             0.00038375,             0.00038375
                     37,                0.88187,                0.46086,                0.97148,                0.94135,                0.92054,                 0.9699,                0.69362,                0.90854,                0.41188,                0.97503,               0.000359,               0.000359,               0.000359
                     38,                0.87625,                0.45991,                  0.973,                  0.946,                0.93333,                0.97636,                0.69802,                0.89049,                0.41383,                0.96851,             0.00033425,             0.00033425,             0.00033425
                     39,                0.88041,                0.46537,                0.97016,                0.94467,                0.93226,                0.97149,                0.70038,                0.89392,                0.40493,                0.97118,              0.0003095,              0.0003095,              0.0003095
                     40,                0.85986,                0.42852,                0.96532,                0.94344,                0.92764,                 0.9728,                0.69385,                0.90255,                 0.4141,                0.97548,             0.00028475,             0.00028475,             0.00028475
                     41,                0.83925,                0.41933,                0.95745,                0.96006,                0.91683,                0.97371,                0.69798,                0.89883,                0.40852,                0.97244,                0.00026,                0.00026,                0.00026
                     42,                0.83082,                0.40911,                 0.9509,                0.94305,                0.92806,                0.97416,                0.69517,                0.90168,                0.40229,                0.97257,             0.00023525,             0.00023525,             0.00023525
                     43,                0.82733,                0.40665,                0.94854,                0.95532,                0.91681,                0.97386,                0.69595,                0.89127,                0.40333,                0.96794,              0.0002105,              0.0002105,              0.0002105
                     44,                0.81671,                0.40085,                0.94436,                0.94991,                0.92765,                0.97315,                0.70319,                0.88615,                0.39703,                0.96536,             0.00018575,             0.00018575,             0.00018575
                     45,                 0.8149,                0.39832,                0.94554,                0.95461,                0.91935,                0.96975,                 0.7017,                0.87647,                0.39648,                0.96209,               0.000161,               0.000161,               0.000161
                     46,                0.81119,                0.39334,                0.94932,                0.94396,                0.93087,                 0.9731,                0.70177,                0.87502,                0.39506,                0.96017,             0.00013625,             0.00013625,             0.00013625
                     47,                0.80575,                0.39379,                0.94238,                0.95157,                0.93338,                0.97599,                0.70615,                0.87357,                 0.3931,                0.96179,              0.0001115,              0.0001115,              0.0001115
                     48,                0.79427,                0.38881,                0.93868,                0.95589,                0.92723,                0.97365,                0.70499,                0.87116,                0.39292,                 0.9591,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.78998,                 0.3852,                0.93694,                0.94988,                0.93337,                 0.9742,                0.70525,                0.86786,                0.38998,                0.95812,                6.2e-05,                6.2e-05,                6.2e-05
